Commands,Hard Label,Soft Label
move to the red room and push the chair into the purple room exit the purple room and enter the green room,1,1
bring the red chair back to this room,1,1
go to the red room and grab the chair and leave it in the blue room then go to the green room,1,1
go to red room push chair to purple go to green room,1,1
move to the green room after placing the chair where you were,1,1
go to red room get chair move chair to purple room go to red room go to green room,1,1
get the chair from the red room and bring it back,1,1
go to the red room push the red chair across the room,1,1
go into the red room and push the chair into the blue room then go into the green room,1,1
bring the red chair in the pink room to the blue room then go to the green room,1,1
go to the pink room and retrieve the chair and bring it back to the starting position then enter the green room,1,1
go down to the red room and bring the chair to blue room after that go to the green room,1,1
bring red chair in the pink room to the blue room then go to the green room,1,1
move to the pink room then back to the purple room then into the green room,1,1
put chiir in red room return to green room,1,1
take the chair in the red room to the purple room then go to the green room,1,1
move the chair into the room,1,1
move chair to blue room and then go into the green room,1,1
go to pink room bring chair to blue room go to pink room stop in green room,1,1
go south into the pink room push the chair east and north into the blue room then back to the pink room and into the green room,1,1
return back right move place to turn move to upward to place,1,1
go to the red room push the chair to the blue room go to the green room,1,1
go to pink room and move chair to blue room,1,1
go into the red room and get the chair then push it into the purple room then come out of the purple room into the red room and go into the green room,1,1
go to the pink room get the chair go back to the purple room go tho the pink room then go to the green room,1,1
go to the pink room move the chair to the purple room then move to the green room,1,1
go to the red room take the object there come back to the previous room leave the object there and go to the green room,1,1
go the green room grab the chair bring that chair back to the red room,1,1
go to red room push chair to blue room go to red room go to green room,1,1
go in the room and find the chair push it into blue room then go into the green room without the chair,1,1
move from the blue room into the red room push the chair back to the blue room then go through the red room into the green room,1,1
push chair to blue room then go to green room,1,1
find chair and pish it into blue room then go into the green room,1,1
go to the pink room and move the chair into the purple room and then go into the green room,1,1
move to the pink room move to the left of the chair right right right down right move to the blue room move to the pink room move to the green room,1,1
move to pink room pick chair move to blue room go to pink room go to green room,1,1
go to the orange room go to the chair pick up the chair go to the blue room put down the chair go to the green room,1,1
go to the pink room and push the chair back to the purple room before going to the green room,1,1
move to the red room grab the chair go to the blue room go to the red room go to the blue room,1,1
take the chair from the red room to the purple room then go to the green room,1,1
move to the red room bring the chair to the blue room then go to the green room,1,1
go into the pink room push the chair into the blue room go through the pink room and into the green room,1,1
walk to the red room push the red chair to the purple room go to the green room,1,1
move to the red room and push the chair into the blue room then go to the green room,1,1
push the chair into red room and go into the green room,1,1
go into the red room and push the chair into the blue room then go into the green room,1,1
go to red room move red chair to blue room then go to green room,1,1
move to the red room push the chair to the blue room go to the red room then go to the green room,1,1
go to red room move left move up move right move to blue room move to green room,1,1
move to the red room move the chair to the blue room move to the green room,1,1
move pink move purple move pink move green,1,1
go to the pink room bring chair back to the blue room then back to the pink room and through the pink room door and into the green room door,1,1
go to the red room move the chair to the blue room then go to the green room,1,1
get the chair and put it in the blue room and then go to the green room,1,1
bring the chair to the blue room then go to the green room,1,1
go to pink room push chair to purp room go to green room,1,1
go to the pink room then move south two steps then move west five steps them move north one step then move east four steps then move south one step move east one step then move north three steps then go to the green room,1,1
push the chair into the blue room and you go to the green room,1,1
go to pink room take chair to blue room go to green room,1,1
go to red room and move red chair to blue room and go to green room,1,1
go to the red room push the chair to the blue room then go in the green room,1,1
push the chair to the blue room and you go to the green room,1,1
move south to the red room push the chair back to the blue room and enter the green room,1,1
go to the orange room push the red chair into the purple room then go back to the orange room and go into the green room,1,1
go into the red room bring the chair into the blue room then go into the red room then go into the green room,1,1
move to pink room push chair into purple room move to green room,1,1
go into the red room then push the chair into the blue room then go through the red room into the green room,1,1
move into the red room and push the chair to the blue room then move to the green room,1,1
go to the pink room push the chair into the blue room then go to the green room,1,1
move the chair in the pink room to the blue room and leave it there then go to the green room,1,1
go into the red room push the chair into the purple room then go back through the red room into the green room,1,1
go to the red room push the chair into the original room then go to the green room,1,1
move to red room push chair into blue room go back to red room and enter green room,1,1
move to the red room get the chair move to the purple room move to the red room move to the green room,1,1
go to red room go down go right go down go to right door go down go right go to left door enter green room,1,1
go to the pink room and move the chair to the blue room and then go back to the pink room and then go into the green room,1,1
go to the red room get the char com back now go to the green room,1,1
go to the red room and push the red chair into the purple room and then go to the green room,1,1
move to pink room get the chair move to purple room place the chair and go to green room,1,1
push the chair into the blue room then go into the green room,1,1
move to red room and take the chair to violet and move to red room and go to green room,1,1
go south through door till you reach a wall go west until you reach another wall go north one pace and then east four paces south one pace east one pace then north four paces through door south one pace through door west four paces and north two paces through door,1,1
go to the red room then get the chair then go back to the blue room then go into the green room,1,1
go into the red room and push the chair back into the blue room then go into the green room,1,1
go to the pink room then go to the green room,1,1
leave the chair in blue room and go to green room,1,1
move to the red room move to the chair move the chair into the blue room move to the green room,1,1
move the chair from the red room to the blue room and then go into the green room,1,1
push the chair into the blue room and go to the green room,1,1
move to the red room push the chair into the blue room move to the green room,1,1
go to the red room push the chair to the purple room go to the green room,1,1
move to chair push chair to purple room move to green room,1,1
go to the pink room go to the chair go to the blue room go to the green room,1,1
bring the chair in the room and go to the other room,1,1
push out of room grab the chair push into other room,1,1
grab the red chair come back to the blue room,1,1
go get the red dog push it to the blue room and go to the green room,1,1
move to the red room and push the chair into the blue room then go into the green room,1,1
move to the green room,1,1
move the chair from the red room to the blue room and then go to the green room,1,1
go to the red room push the chair into the blue room and finally go into the green room,1,1
move to the pink room go to the west wall push the chair to the door and then go to the green room,1,1
bring the chair back here and go to the green room,1,1
go to the pink room push the chair into the blue room go to the green room,1,1
go to the pink room and return with chair leave chair in blue room go to green room,1,1
go to the red room then push the chair into the blue room leave the chair and go to the red room then go to the green room,1,1
go to the red room move the chair to the blue room then go to the green room,1,1
bring the chair to the blue room and then go to the green room,1,1
go to green room,1,1
go into the red room find the chair bring it into the purple room then return to the red room then go through the green room door and stop,1,1
move to the green room,1,1
enter red room down two left five up one right four down one right one up three go to green room,1,1
go to the red room and get the chair and push it into the purple room and then go to the green room,1,1
move to the red room get the chair move to the blue room leave the chair move to the red room move to the green room,1,1
go to the pink room and bring the chair to the blue room and then go to the green room,1,1
go to the red room move the chair to the blue room go to the green room,1,1
go to the pink room and bring the chair to the blue room then go to the green room,1,1
go to the red room and bring the chair back to the purple room then make your way to the green room,1,1
go into the red room take the chair to the blue room go back into the red room and then go into the green room,1,1
go push the chair into the blue room then go into the red room,1,1
go to the pink room and push the chair back into the blue room then go to the green room,1,1
move to the red room move the chair to the purple room move to the green room,1,1
go to red room get chair go to blue room go to red room go to green room,1,1
go from the purple room to the pink room go behind the chair and push the chair from the pink room to the purple room leave the chair in the purple room and go to the green room,1,1
move to red room go down down down left left left left up right right right right down right up up up go to green room,1,1
go to the red room get the chair bring it to the blue room then go to the green room,1,1
move to the blue room,1,1
go into the red room grab the chair and take it to the blue room then go to the green room,1,1
move to pink room get the chair move it to blue room place their move to green room,1,1
take the chair from the red room and put it in the blue room then go to the green room,1,1
go to the red room push the chair to the blue room and then go to the green room through the red room,1,1
go into the red room get the red chair and push it into the purple room then go over to the green room,1,1
move to the red room get the chair and move it to the purple room then move to the green room,1,1
go the the red room go to the left side of the chair go to the right side of the room go to the bottom of the room next to the chair go to the blue room go to the green room,1,1
go to red room move chair to blue room go to green room,1,1
go to pink room push chair to blue room,1,1
go to the red room then push the chair to the blue room then go to the green room,1,1
go to the pink room go to the chair go back to the blue room,1,1
go to the red room and get dog take it back to blue room then go to the red room and then go to the green room,1,1
move to the red room bring the chair back to the blue room then move to the green room,1,1
go to the pink room and retrieve the object before pushing it back into the purple room and moving back to the pink room and then finally the green room,1,1
move to the red room stand on the west side of the chair and push it to line up with the blue door push the chair into the blue room and then enter the green room,1,1
move to red room and push the chair back to blue room then move to red room then move to green room,1,1
go to the other room and push the chair into the blue room,1,1
go to the red room get the chair take it to the blue room then go back to the red room then go into the green room,1,1
go to the red room push the chair into the blue room go into the green room,1,1
go into the red room move the chair into the blue room go back into the red room and enter the green room,1,1
go to the red room push chair to blue room go back to red room go to green room,1,1
move to the red room grasp the chair move to the blue room release the chair move to the red room then move to the green room,1,1
get chair from red room and bring back . return to red room to enter green room,1,1
go to the red room get the chair then go to the blue room go back into the red room then go to the green room,1,1
move to the red room get the chair and go back to the blue room go to the red room and to the green room,1,1
move to the red room push the chair through the door of the blue room go to the green room,1,1
go to the red room . go to the chair . push the chair to the blue room . go to the red room . go to the green room,1,1
push the chair into the blue room then go into the green room,1,1
move down into the red room push the chair to the right and up into the blue room then pass back into the red room then up and left to the green room,1,1
go inside the red room . go behind the chair . move the chair right until it 's below the blue door . go below the chair . move the chair into the blue room . go to the red room . go to the green room,1,1
move to the red room move the chair to the blue room move to the red room move to the green room,1,1
go to the red room and then go to the chair push the chair to the blue room then go to the red room go to the green room,1,1
go to the red room and push the chair to the blue room and leave it there and go back to the red room and go to the green room,1,1
go to the chair in the red room push the chair into the blue room go into the red room and then go into the green room,1,1
go to red room go to back of chair go towards blue room but stop before it go to bottom of chair go to blue room go to red room go to green room,1,1
go to the red room push the chair into the blue room go back into the red room and then go to the green room,1,1
go to red room bring chair back to blue room go to red room go to green room,1,1
go to red room get chair go to blue room leave chair go to red room go to green room,1,1
go to the red room move the chair into the blue room come back to the red room and enter the green room,1,1
go to red room push chair to blue room go to red room go to green room,1,1
go from the blue room to the red room then push the chair into the blue room then return to the red room and then go into the green room,1,1
go to the red room push the red chair to the green room go to the red room go to the blue room,1,1
move to the red room move the red chair to the blue room move to the red room and then move to the green room,1,1
go to the pink room locate chair and return chair to blue room then go to pink room and then green room,1,1
go in the red room bring chair back to blue room then go back to red room then into green room,1,1
move to the red room push the chair into the blue room go into the red room and enter the green room,1,1
go to the red room and take the chair to the blue room . from the red room door go to the green room,1,1
move to the pink room and get the chair and go to the purple room then go to the pink room and finally the green room,1,1
move to red room go to chair move chair to blue room move to red room move to green room,1,1
exit blue room and go to pink room push chair into the blue room exit blue room and turn right in pink room and then go to green room,1,1
move to the red room push the object into the blue room move through the red room and enter the green room,1,1
go to the pink room and push the chair into the blue room then go back to the pink room and enter the green room,1,1
move to the red room and pick up the chair then move the chair into the blue room leave the chair and move to the red room and then move to the green room,1,1
go to red room bring chair back to blue room and then go to green room,1,1
go to red room go to chair push chair to blue room go to red room go to green room,1,1
go to red room slide chair twordas you and come back,1,1
go to the red room push the chair across the red room into the blue room go back to the red room then enter the green room,1,1
move to the red room move to the red chair move the red chair to the blue room move to the red room move to the green room,1,1
go the the red room go to the left of the chair go to the right side of the room go to the bottom of the chair go to the blue room go to the red room go to the green room,1,1
move to red room go south to wall go west to wall go up push chair to east go down go right go to blue room go to red room go to green room,1,1
